单品编码,单品名称,分类名称,扫码销售时间,销量(千克),销售单价(元/千克),销售类型,是否打折销售,日期,批发价格(元/千克)
102900011033173,槐花,花叶类,11:25:41.498,0.209,31.6,销售,否,2022-04-16,11.14
102900011033173,槐花,花叶类,16:54:14.191,0.063,31.6,销售,否,2022-04-16,11.14
102900011033173,槐花,花叶类,09:28:08.168,0.155,31.6,销售,否,2022-04-17,11.15
102900011033173,槐花,花叶类,17:29:19.420,0.073,31.6,销售,否,2022-04-17,11.15
102900011033173,槐花,花叶类,19:24:15.905,0.215,31.6,销售,否,2022-04-25,8.65
102900011033173,槐花,花叶类,09:56:16.112,0.167,19.8,销售,否,2022-04-27,8.63
102900011033173,槐花,花叶类,10:19:03.738,0.157,19.8,销售,否,2022-04-27,8.63
102900011033173,槐花,花叶类,11:50:25.139,0.157,16.0,销售,否,2022-04-28,8.63
102900011033173,槐花,花叶类,17:00:04.220,0.376,16.0,销售,否,2022-04-28,8.63
102900011033173,槐花,花叶类,10:51:38.116,0.163,16.0,销售,否,2022-05-01,8.63
102900011033173,槐花,花叶类,11:49:34.803,0.301,16.0,销售,否,2022-05-01,8.63
102900011033173,槐花,花叶类,18:33:47.036,0.689,16.0,销售,否,2022-05-01,8.63
102900011033173,槐花,花叶类,09:53:37.023,0.15,16.0,销售,否,2022-05-02,9.18
102900011033173,槐花,花叶类,10:02:38.976,0.664,16.0,销售,否,2022-05-02,9.18
102900011033173,槐花,花叶类,12:25:52.765,0.244,16.0,销售,否,2022-05-02,9.18
102900011033173,槐花,花叶类,17:23:27.139,0.301,16.0,销售,否,2022-05-02,9.18
102900011033173,槐花,花叶类,09:57:29.234,0.082,16.0,销售,否,2022-05-03,9.89
102900011033173,槐花,花叶类,13:14:54.576,0.207,16.0,销售,否,2022-05-04,10.13
102900011033173,槐花,花叶类,13:58:55.379,0.088,16.0,销售,否,2022-05-04,10.13
102900011033173,槐花,花叶类,14:15:11.551,0.257,16.0,销售,否,2022-05-04,10.13
102900011033173,槐花,花叶类,15:05:12.767,0.222,21.6,销售,否,2022-05-06,10.12
102900011033173,槐花,花叶类,19:00:50.215,0.097,21.6,销售,否,2022-05-06,10.12
102900011033173,槐花,花叶类,19:09:19.221,0.218,21.6,销售,否,2022-05-07,10.14
102900011033173,槐花,花叶类,19:04:00.592,0.181,21.6,销售,否,2022-05-08,10.11
102900011033173,槐花,花叶类,10:50:46.861,0.593,21.6,销售,否,2022-05-09,12.4
102900011033173,槐花,花叶类,12:05:18.467,0.509,21.6,销售,否,2022-05-09,12.4
102900011033173,槐花,花叶类,14:21:44.108,0.273,21.6,销售,否,2022-05-09,12.4
102900011033173,槐花,花叶类,12:52:29.092,0.083,21.6,销售,否,2022-05-10,16.25
102900011033173,槐花,花叶类,17:57:05.008,0.125,21.6,销售,否,2022-05-10,16.25
102900011033173,槐花,花叶类,10:30:13.917,0.313,16.0,销售,否,2023-05-06,9.09
102900011033173,槐花,花叶类,11:15:57.871,0.132,16.0,销售,否,2023-05-06,9.09
102900011033173,槐花,花叶类,19:10:40.506,0.113,16.0,销售,否,2023-05-06,9.09
102900011033173,槐花,花叶类,10:40:07.868,0.15,16.0,销售,否,2023-05-07,9.07
102900011033173,槐花,花叶类,17:05:19.264,0.107,16.0,销售,否,2023-05-07,9.07
102900011033173,槐花,花叶类,09:51:17.998,0.056,16.0,销售,否,2023-05-10,9.08
102900011033173,槐花,花叶类,10:20:14.443,0.15,16.0,销售,否,2023-05-10,9.08
102900011033173,槐花,花叶类,15:21:42.082,0.539,16.0,销售,否,2023-05-10,9.08
102900011033173,槐花,花叶类,09:34:36.418,0.276,16.0,销售,否,2023-05-13,9.09
102900011033173,槐花,花叶类,14:28:15.697,0.175,16.0,销售,否,2023-05-13,9.09
102900011033173,槐花,花叶类,11:17:00.373,0.188,16.0,销售,否,2023-05-15,9.44
102900011033173,槐花,花叶类,11:21:39.743,0.082,16.0,销售,否,2023-05-16,11.22
