单品编码,单品名称,分类名称,扫码销售时间,销量(千克),销售单价(元/千克),销售类型,是否打折销售,日期,批发价格(元/千克)
102900051009220,油菜苔,花叶类,09:26:24.902,0.271,10.0,销售,否,2021-02-25,5.39
102900051009220,油菜苔,花叶类,09:33:49.092,0.271,10.0,销售,否,2021-02-25,5.39
102900051009220,油菜苔,花叶类,09:33:52.139,0.231,10.0,销售,否,2021-02-25,5.39
102900051009220,油菜苔,花叶类,12:52:44.577,0.321,10.0,销售,否,2021-02-25,5.39
102900051009220,油菜苔,花叶类,13:10:44.304,0.291,10.0,销售,否,2021-02-25,5.39
102900051009220,油菜苔,花叶类,14:18:29.293,0.301,10.0,销售,否,2021-02-25,5.39
102900051009220,油菜苔,花叶类,17:17:52.639,0.321,10.0,销售,否,2021-02-25,5.39
102900051009220,油菜苔,花叶类,17:50:40.108,0.311,10.0,销售,否,2021-02-25,5.39
102900051009220,油菜苔,花叶类,18:09:00.545,0.241,10.0,销售,否,2021-02-25,5.39
102900051009220,油菜苔,花叶类,18:09:05.420,0.331,10.0,销售,否,2021-02-25,5.39
102900051009220,油菜苔,花叶类,19:09:27.428,0.291,10.0,销售,否,2021-02-25,5.39
102900051009220,油菜苔,花叶类,19:14:40.588,0.321,10.0,销售,否,2021-02-25,5.39
102900051009220,油菜苔,花叶类,19:19:19.576,0.271,10.0,销售,否,2021-02-25,5.39
102900051009220,油菜苔,花叶类,20:37:16.998,0.281,10.0,销售,否,2021-02-25,5.39
102900051009220,油菜苔,花叶类,20:37:19.170,0.291,10.0,销售,否,2021-02-25,5.39
102900051009220,油菜苔,花叶类,12:41:31.179,0.521,10.0,销售,否,2021-03-02,5.39
102900051009220,油菜苔,花叶类,18:36:03.978,0.501,12.0,销售,否,2021-03-19,6.21
102900051009220,油菜苔,花叶类,11:28:49.299,0.334,12.0,销售,否,2021-03-21,6.2
102900051009220,油菜苔,花叶类,11:28:49.865,0.351,12.0,销售,否,2021-03-21,6.2
102900051009220,油菜苔,花叶类,16:06:04.529,0.242,12.0,销售,否,2021-03-22,6.47
102900051009220,油菜苔,花叶类,16:16:59.234,0.234,12.0,销售,否,2021-03-22,6.47
102900051009220,油菜苔,花叶类,16:16:59.420,0.184,12.0,销售,否,2021-03-22,6.47
102900051009220,油菜苔,花叶类,16:28:00.514,0.234,12.0,销售,否,2021-03-22,6.47
102900051009220,油菜苔,花叶类,16:28:03.701,0.209,12.0,销售,否,2021-03-22,6.47
102900051009220,油菜苔,花叶类,16:37:44.826,0.225,12.0,销售,否,2021-03-22,6.47
102900051009220,油菜苔,花叶类,19:15:56.623,0.242,12.0,销售,否,2021-03-22,6.47
102900051009220,油菜苔,花叶类,19:15:58.420,0.234,12.0,销售,否,2021-03-22,6.47
102900051009220,油菜苔,花叶类,19:17:00.242,0.209,12.0,销售,否,2021-03-22,6.47
102900051009220,油菜苔,花叶类,19:17:00.437,0.25,12.0,销售,否,2021-03-22,6.47
102900051009220,油菜苔,花叶类,19:36:05.208,0.234,12.0,销售,否,2021-03-22,6.47
102900051009220,油菜苔,花叶类,20:33:56.146,0.25,4.0,销售,否,2021-03-22,6.47
102900051009220,油菜苔,花叶类,20:36:52.171,0.425,4.0,销售,否,2021-03-22,6.47
