单品编码,单品名称,分类名称,扫码销售时间,销量(千克),销售单价(元/千克),销售类型,是否打折销售,日期,批发价格(元/千克)
102900011029299,紫螺丝椒,辣椒类,10:33:25.217,0.272,14.0,销售,否,2022-06-18,13.0
102900011029299,紫螺丝椒,辣椒类,20:20:08.873,0.351,14.0,销售,否,2022-06-18,13.0
102900011029299,紫螺丝椒,辣椒类,21:07:50.866,0.244,14.0,销售,否,2022-06-18,13.0
102900011029299,紫螺丝椒,辣椒类,10:58:52.139,0.165,14.0,销售,否,2022-06-19,12.99
102900011029299,紫螺丝椒,辣椒类,11:19:48.561,0.129,14.0,销售,否,2022-06-19,12.99
102900011029299,紫螺丝椒,辣椒类,11:31:58.014,0.238,16.0,销售,否,2023-01-06,11.9
102900011029299,紫螺丝椒,辣椒类,15:48:38.884,0.188,16.0,销售,否,2023-01-06,11.9
102900011029299,紫螺丝椒,辣椒类,15:56:54.389,0.194,16.0,销售,否,2023-01-06,11.9
102900011029299,紫螺丝椒,辣椒类,16:07:39.282,0.201,16.0,销售,否,2023-01-06,11.9
102900011029299,紫螺丝椒,辣椒类,16:17:37.655,0.226,16.0,销售,否,2023-01-06,11.9
102900011029299,紫螺丝椒,辣椒类,16:23:14.501,0.169,16.0,销售,否,2023-01-06,11.9
102900011029299,紫螺丝椒,辣椒类,12:16:42.608,0.238,16.0,销售,否,2023-01-08,11.9
102900011029299,紫螺丝椒,辣椒类,19:38:38.141,0.226,16.0,销售,否,2023-01-08,11.9
102900011029299,紫螺丝椒,辣椒类,11:58:58.089,0.206,18.0,销售,否,2023-01-10,11.89
102900011029299,紫螺丝椒,辣椒类,17:04:01.526,0.217,18.0,销售,否,2023-01-10,11.89
102900011029299,紫螺丝椒,辣椒类,21:10:35.195,0.184,10.8,销售,是,2023-01-11,11.91
102900011029299,紫螺丝椒,辣椒类,20:33:21.17,0.206,18.0,销售,否,2023-01-12,11.89
102900011029299,紫螺丝椒,辣椒类,10:05:27.889,0.45,19.8,销售,否,2023-01-18,13.96
102900011029299,紫螺丝椒,辣椒类,10:21:47.131,0.444,19.8,销售,否,2023-01-18,13.96
102900011029299,紫螺丝椒,辣椒类,10:22:45.447,0.535,19.8,销售,否,2023-01-18,13.96
102900011029299,紫螺丝椒,辣椒类,10:50:35.45,0.202,19.8,销售,否,2023-01-18,13.96
102900011029299,紫螺丝椒,辣椒类,14:10:45.201,0.258,19.8,销售,否,2023-01-18,13.96
102900011029299,紫螺丝椒,辣椒类,16:50:03.041,0.076,19.8,销售,否,2023-01-18,13.96
102900011029299,紫螺丝椒,辣椒类,10:40:19.14,0.182,19.8,销售,否,2023-01-19,13.96
102900011029299,紫螺丝椒,辣椒类,13:02:57.092,0.384,19.8,销售,否,2023-01-19,13.96
102900011029299,紫螺丝椒,辣椒类,13:07:37.42,0.258,19.8,销售,否,2023-01-19,13.96
102900011029299,紫螺丝椒,辣椒类,15:58:01.469,0.081,19.8,销售,否,2023-01-19,13.96
102900011029299,紫螺丝椒,辣椒类,12:34:16.311,0.172,19.8,销售,否,2023-01-20,13.95
102900011029299,紫螺丝椒,辣椒类,15:24:24.17,0.147,19.8,销售,否,2023-01-20,13.95
