单品编码,单品名称,分类名称,扫码销售时间,销量(千克),销售单价(元/千克),销售类型,是否打折销售,日期,批发价格(元/千克)
102900011031759,红灯笼椒(份),辣椒类,11:22:04.076,1.0,3.4,销售,否,2022-01-09,2.56
102900011031759,红灯笼椒(份),辣椒类,15:50:49.811,1.0,3.4,销售,否,2022-01-09,2.56
102900011031759,红灯笼椒(份),辣椒类,10:00:19.571,1.0,3.4,销售,否,2022-01-14,2.42
102900011031759,红灯笼椒(份),辣椒类,18:55:07.326,1.0,3.4,销售,否,2022-01-14,2.42
102900011031759,红灯笼椒(份),辣椒类,16:43:36.686,1.0,3.4,销售,否,2022-01-15,2.42
102900011031759,红灯笼椒(份),辣椒类,11:09:02.670,1.0,3.4,销售,否,2022-01-19,2.42
102900011031759,红灯笼椒(份),辣椒类,15:57:57.326,1.0,3.4,销售,否,2022-01-20,2.42
102900011031759,红灯笼椒(份),辣椒类,13:20:03.248,1.0,3.4,销售,否,2022-01-21,2.42
102900011031759,红灯笼椒(份),辣椒类,15:36:19.102,1.0,3.4,销售,否,2022-01-21,2.42
102900011031759,红灯笼椒(份),辣椒类,11:36:30.139,1.0,3.4,销售,否,2022-01-24,3.54
102900011031759,红灯笼椒(份),辣椒类,13:59:33.201,1.0,3.4,销售,否,2022-01-24,3.54
102900011031759,红灯笼椒(份),辣椒类,16:56:39.696,1.0,3.4,销售,否,2022-01-24,3.54
102900011031759,红灯笼椒(份),辣椒类,19:12:33.264,1.0,6.5,销售,否,2022-02-11,3.48
