单品编码,单品名称,分类名称,扫码销售时间,销量(千克),销售单价(元/千克),销售类型,是否打折销售,日期,批发价格(元/千克)
102900011026618,艾蒿,花叶类,11:12:31.724,0.368,6.0,销售,否,2022-06-01,2.41
102900011026618,艾蒿,花叶类,19:49:44.717,0.268,6.0,销售,否,2022-06-01,2.41
102900011026618,艾蒿,花叶类,17:41:12.026,0.404,4.0,销售,否,2023-06-19,2.8
102900011026618,艾蒿,花叶类,18:11:13.863,0.379,4.0,销售,否,2023-06-19,2.8
102900011026618,艾蒿,花叶类,18:12:27.687,0.253,4.0,销售,否,2023-06-19,2.8
102900011026618,艾蒿,花叶类,19:13:39.395,0.455,4.0,销售,否,2023-06-19,2.8
102900011026618,艾蒿,花叶类,19:33:34.462,0.379,4.0,销售,否,2023-06-19,2.8
102900011026618,艾蒿,花叶类,19:46:32.157,0.354,4.0,销售,否,2023-06-19,2.8
102900011026618,艾蒿,花叶类,20:07:36.78,0.354,4.0,销售,否,2023-06-19,2.8
102900011026618,艾蒿,花叶类,20:09:27.905,0.303,4.0,销售,否,2023-06-19,2.8
102900011026618,艾蒿,花叶类,20:09:52.294,0.227,4.0,销售,否,2023-06-19,2.8
102900011026618,艾蒿,花叶类,20:03:23.561,0.379,4.0,销售,否,2023-06-21,2.8
102900011026618,艾蒿,花叶类,20:03:23.771,0.328,4.0,销售,否,2023-06-21,2.8
102900011026618,艾蒿,花叶类,21:00:46.858,0.303,4.0,销售,否,2023-06-21,2.8
102900011026618,艾蒿,花叶类,21:03:56.592,0.202,4.0,销售,否,2023-06-21,2.8
102900011026618,艾蒿,花叶类,21:11:45.248,0.278,4.0,销售,否,2023-06-21,2.8
102900011026618,艾蒿,花叶类,21:42:25.217,0.404,4.0,销售,否,2023-06-21,2.8
102900011026618,艾蒿,花叶类,09:50:55.042,0.505,4.0,销售,否,2023-06-22,2.8
102900011026618,艾蒿,花叶类,09:53:53.264,0.429,4.0,销售,否,2023-06-22,2.8
102900011026618,艾蒿,花叶类,10:01:26.623,0.631,4.0,销售,否,2023-06-22,2.8
102900011026618,艾蒿,花叶类,10:01:27.733,0.379,4.0,销售,否,2023-06-22,2.8
102900011026618,艾蒿,花叶类,10:04:27.514,0.429,4.0,销售,否,2023-06-22,2.8
102900011026618,艾蒿,花叶类,10:04:27.728,0.581,4.0,销售,否,2023-06-22,2.8
102900011026618,艾蒿,花叶类,10:04:27.952,0.48,4.0,销售,否,2023-06-22,2.8
102900011026618,艾蒿,花叶类,10:04:28.167,0.48,4.0,销售,否,2023-06-22,2.8
102900011026618,艾蒿,花叶类,10:04:28.376,0.404,4.0,销售,否,2023-06-22,2.8
102900011026618,艾蒿,花叶类,10:04:55.842,0.556,4.0,销售,否,2023-06-22,2.8
