单品编码,单品名称,分类名称,扫码销售时间,销量(千克),销售单价(元/千克),销售类型,是否打折销售,日期,批发价格(元/千克)
102900005115977,豌豆尖,花叶类,09:55:13.576,0.301,5.0,销售,否,2020-11-21,3.16
102900005115977,豌豆尖,花叶类,10:02:10.173,0.241,5.0,销售,否,2020-11-21,3.16
102900005115977,豌豆尖,花叶类,10:11:18.898,0.382,5.0,销售,否,2020-11-21,3.16
102900005115977,豌豆尖,花叶类,10:33:57.168,0.241,5.0,销售,否,2020-11-21,3.16
102900005115977,豌豆尖,花叶类,10:48:27.076,0.181,5.0,销售,否,2020-11-21,3.16
102900005115977,豌豆尖,花叶类,11:15:57.934,0.321,5.0,销售,否,2020-11-21,3.16
102900005115977,豌豆尖,花叶类,16:30:27.795,0.201,5.0,销售,否,2020-11-21,3.16
102900005115977,豌豆尖,花叶类,18:05:35.373,0.181,5.0,销售,否,2020-11-21,3.16
102900005115977,豌豆尖,花叶类,09:37:38.264,0.281,5.0,销售,否,2020-11-23,3.33
102900005115977,豌豆尖,花叶类,09:56:50.233,0.382,5.0,销售,否,2020-11-23,3.33
102900005115977,豌豆尖,花叶类,10:07:50.186,0.382,5.0,销售,否,2020-11-23,3.33
102900005115977,豌豆尖,花叶类,10:32:47.217,0.201,5.0,销售,否,2020-11-23,3.33
102900005115977,豌豆尖,花叶类,10:37:46.217,0.141,5.0,销售,否,2020-11-23,3.33
102900005115977,豌豆尖,花叶类,11:17:12.608,0.141,5.0,销售,否,2020-11-23,3.33
102900005115977,豌豆尖,花叶类,11:50:56.350,0.181,5.0,销售,否,2020-11-23,3.33
102900005115977,豌豆尖,花叶类,12:41:33.920,0.121,5.0,销售,否,2020-11-23,3.33
102900005115977,豌豆尖,花叶类,13:34:38.498,0.402,5.0,销售,否,2020-11-23,3.33
102900005115977,豌豆尖,花叶类,13:35:45.842,0.141,5.0,销售,否,2020-11-23,3.33
102900005115977,豌豆尖,花叶类,14:50:55.441,0.542,5.0,销售,否,2020-11-23,3.33
102900005115977,豌豆尖,花叶类,15:36:30.905,0.181,5.0,销售,否,2020-11-23,3.33
