单品编码,单品名称,分类名称,扫码销售时间,销量(千克),销售单价(元/千克),销售类型,是否打折销售,日期,批发价格(元/千克)
102900011018132,野生粉藕,水生根茎类,10:16:44.998,0.826,16.0,销售,否,2020-11-11,9.76
102900011018132,野生粉藕,水生根茎类,10:33:38.951,0.807,16.0,销售,否,2020-11-11,9.76
102900011018132,野生粉藕,水生根茎类,11:03:32.292,0.338,16.0,销售,否,2020-11-11,9.76
102900011018132,野生粉藕,水生根茎类,12:26:32.179,0.25,16.0,销售,否,2020-11-11,9.76
102900011018132,野生粉藕,水生根茎类,19:06:18.360,0.207,16.0,销售,否,2020-11-11,9.76
102900011018132,野生粉藕,水生根茎类,10:50:26.607,1.064,16.0,销售,否,2020-11-12,9.76
102900011018132,野生粉藕,水生根茎类,13:18:06.530,0.213,16.0,销售,否,2020-11-12,9.76
102900011018132,野生粉藕,水生根茎类,18:27:30.776,0.463,16.0,销售,否,2020-11-12,9.76
102900011018132,野生粉藕,水生根茎类,15:31:28.576,0.713,16.0,销售,否,2020-11-13,9.76
102900011018132,野生粉藕,水生根茎类,09:43:11.686,0.768,12.0,销售,否,2020-11-19,8.42
102900011018132,野生粉藕,水生根茎类,09:48:29.686,2.663,12.0,销售,否,2020-11-19,8.42
102900011018132,野生粉藕,水生根茎类,11:02:29.780,0.985,12.0,销售,否,2020-11-19,8.42
102900011018132,野生粉藕,水生根茎类,12:07:13.311,1.311,12.0,销售,否,2020-11-19,8.42
102900011018132,野生粉藕,水生根茎类,17:24:41.527,0.484,12.0,销售,否,2020-11-19,8.42
102900011018132,野生粉藕,水生根茎类,10:13:13.795,0.685,12.0,销售,否,2020-11-20,7.0
102900011018132,野生粉藕,水生根茎类,10:35:55.733,0.593,12.0,销售,否,2020-11-20,7.0
102900011018132,野生粉藕,水生根茎类,14:36:42.532,0.451,12.0,销售,否,2020-11-20,7.0
102900011018132,野生粉藕,水生根茎类,09:28:43.028,1.238,14.0,销售,否,2020-11-21,7.0
102900011018132,野生粉藕,水生根茎类,10:17:12.524,0.372,14.0,销售,否,2020-11-21,7.0
102900011018132,野生粉藕,水生根茎类,11:10:57.701,0.572,14.0,销售,否,2020-11-21,7.0
102900011018132,野生粉藕,水生根茎类,12:01:28.147,0.751,14.0,销售,否,2020-11-21,7.0
102900011018132,野生粉藕,水生根茎类,14:32:42.472,0.694,14.0,销售,否,2020-11-21,7.0
102900011018132,野生粉藕,水生根茎类,21:04:57.162,0.551,14.0,销售,否,2020-11-21,7.0
102900011018132,野生粉藕,水生根茎类,12:07:39.873,0.322,14.0,销售,否,2020-12-08,9.76
102900011018132,野生粉藕,水生根茎类,15:52:14.924,0.901,14.0,销售,否,2020-12-08,9.76
102900011018132,野生粉藕,水生根茎类,17:27:01.070,0.637,14.0,销售,否,2020-12-08,9.76
102900011018132,野生粉藕,水生根茎类,18:00:55.514,0.866,14.0,销售,否,2020-12-08,9.76
102900011018132,野生粉藕,水生根茎类,18:55:58.153,0.93,14.0,销售,否,2020-12-08,9.76
102900011018132,野生粉藕,水生根茎类,19:09:59.123,1.073,14.0,销售,否,2020-12-08,9.76
102900011018132,野生粉藕,水生根茎类,09:36:23.144,0.851,14.0,销售,否,2020-12-09,9.75
102900011018132,野生粉藕,水生根茎类,16:55:27.133,0.601,14.0,销售,否,2020-12-09,9.75
102900011018132,野生粉藕,水生根茎类,21:01:26.096,0.744,14.0,销售,否,2020-12-10,9.76
102900011018132,野生粉藕,水生根茎类,09:39:30.020,0.88,14.0,销售,否,2020-12-11,9.6
102900011018132,野生粉藕,水生根茎类,09:40:05.563,0.544,14.0,销售,否,2020-12-11,9.6
